ax,ay,az,gx,gy,gz,label
2272,21540,2368,-1997,9366,2382,caminar
3224,15752,2660,2248,233,2173,caminar
-128,13176,-552,1894,-5497,5671,caminar
76,12080,1168,2123,6977,4468,caminar
3300,15380,2924,-313,8944,2662,caminar
4068,15444,-656,385,5832,5110,caminar
3884,14924,-1840,592,7124,3739,caminar
3496,15088,-1136,-494,4127,2325,caminar
5292,17056,804,-1618,3258,3022,caminar
5280,17792,1748,-2404,-1280,620,caminar
5232,18524,800,-2121,-2625,963,caminar
4960,18756,4424,-2466,-6869,-5218,caminar
5992,19724,2976,-4314,-4954,-1998,caminar
7320,15600,3364,260,1153,1370,caminar
5864,12040,2840,-70,77,4210,caminar
8280,11576,4308,-769,-2521,2795,caminar
8080,12600,2356,-1934,-2807,4260,caminar
7748,12756,1748,-1904,-4519,1056,caminar
7508,16352,-5712,-1107,-6691,959,caminar
6684,12444,1092,-3034,-4433,-787,caminar
7904,14812,-176,-2111,-3704,-2482,caminar
6984,13700,-360,-570,-4332,-2132,caminar
6968,14640,-1096,427,-4382,-3095,caminar
7528,17060,108,-676,-1211,-2952,caminar
7180,17344,2516,-1249,2311,-1870,caminar
8596,20100,3812,-3281,1137,-2175,caminar
5304,15388,3584,-1198,-223,-882,caminar
2988,12980,3224,-781,-2694,-2492,caminar
2568,14552,2004,-166,-960,-572,caminar
3424,15036,3080,-357,1095,-594,caminar
4972,14852,2428,-1507,3005,1455,caminar
3840,11892,2360,-1013,1333,622,caminar
4780,13460,752,-2960,482,-88,caminar
5608,15408,1008,-1836,-889,255,caminar
5980,16892,1360,-2268,-2248,756,caminar
6304,18372,1460,-1076,-3577,391,caminar
5476,17092,2560,-1554,-2398,1107,caminar
7744,19644,4580,-1127,-3280,-604,caminar
6416,15008,4448,-1017,-3003,1932,caminar
6152,11372,3452,-2567,-3370,304,caminar
5936,9684,4460,-2000,-6332,-2519,caminar
6984,12800,4124,-3333,-6108,-3684,caminar
7380,14848,5240,-3975,-6035,-4138,caminar
6904,14892,2620,-2891,-6673,-1931,caminar
5516,12492,2148,-2796,-5098,-2262,caminar
5780,13100,2292,-2323,-5658,-3894,caminar
5988,14892,4060,-2923,-6319,-5401,caminar
6980,16924,3824,-2111,-7262,-4520,caminar
5576,15840,8240,-3853,-9413,-4908,caminar
7012,18592,8880,-5309,-12338,-5089,caminar
3892,12984,7000,-3536,-15902,-3311,caminar
1508,9264,5780,-4619,-17052,-7004,caminar
4384,15060,5156,-6300,-16517,-6397,caminar
6616,18924,7872,-6063,-16076,-4295,caminar
4548,13176,7492,-5985,-16781,-1058,caminar
3136,11576,7944,-6003,-19575,-3336,caminar
3944,14024,6764,-6365,-19176,-3055,caminar
4784,13860,6948,-6787,-19947,-2867,caminar
6400,13936,7148,-7492,-18203,-1625,caminar
7156,13816,8368,-6590,-17710,-2629,caminar
7324,14368,7196,-6047,-16157,-2083,caminar
6476,13852,6700,-4464,-15415,-2011,caminar
5704,13512,4684,-4322,-13825,-1435,caminar
4680,12392,3596,-4383,-13080,-3361,caminar
6116,14156,2088,-5058,-11511,-4699,caminar
6632,14672,2084,-4322,-10360,-5282,caminar
7128,15220,3004,-3152,-10071,-5431,caminar
7684,15584,1664,-2143,-5620,-4810,caminar
6692,13784,1232,-1023,-4177,-3969,caminar
7092,16484,3268,-510,-3187,-5280,caminar
6528,18728,4844,-1209,-2454,-3640,caminar
3576,14980,4480,-265,-2256,-2153,caminar
2784,13492,3508,-816,-3608,-3448,caminar
2264,14472,3508,-193,-2202,-2167,caminar
3092,16196,4300,-1369,-948,-1878,caminar
2592,15600,3968,-1716,-553,-197,caminar
2160,14604,2060,-1613,-1387,-1894,caminar
2328,15452,-128,-1322,-731,-1135,caminar
3808,16340,172,-316,1075,442,caminar
3720,16040,900,257,617,1936,caminar
4080,16092,436,641,140,2680,caminar
